"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","adaxial","somite 1"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," ","Median ch0","Median ch1"," "," ","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","","","",""
"73","73","381.87825867067124","2","57","1075.4189651873257","128.6899699096938","248.09861740089417","8.181562041833843","1156.0","129.0","509.6794534720343","457.93199521692486","44.425434905612","3.3418282091431273","931727.0","112351.0","103","63","0","1"
"74","74","375.210284823772","2","56","1096.2715023481212","129.23713481041895","219.81971803668625","7.980389467597808","1149.5","128.0","509.6012161532166","456.3152263853992","44.151091077989065","3.3418282091431273","953744.0","113076.0","103","63","0","1"
"75","75","560.3940516093803","2","55","1277.5513302338227","128.65915906620558","286.60751748666644","7.789080758592993","1366.5","129.0","510.60062250273995","453.59971736581866","45.90886683891178","3.3418282091431273","1101231.0","111376.0","103","63","0","1"
"76","76","595.1823392261385","2","54","1295.0090235147911","126.77818825190847","277.59511613748936","7.9487128687871085","1420.5","126.0","510.8150087234031","452.30396017571195","47.82315710736981","3.3418282091431273","1117072.0","109608.0","103","63","0","1"
"77","77","704.4431200286729","2","53","1393.411377876889","123.83181333303824","376.7343145222335","7.606701323684481","1566.5","123.0","510.2429174006561","452.1762092120023","49.58996721512435","3.3418282091431273","1203518.0","107692.0","103","63","0","1"
"78","78","601.3361633020493","2","52","1344.2062436508197","132.61127739071142","249.91950556294768","11.112353679860618","1481.0","134.0","510.6801680150701","451.91355336724104","50.9046818861479","3.3418282091431273","1180125.0","115348.0","103","63","0","1"
"79","79","619.8865936209309","2","51","1348.932396004879","133.26178821857076","237.4637051050715","11.55794326231252","1437.0","135.0","510.912119732534","450.4477672979169","52.852314484370794","3.3418282091431273","1163909.0","114139.0","103","63","0","1"
"80","80","614.1556018740234","2","50","1350.113748172637","132.65218118470668","244.7711995406503","11.944163236009459","1488.0","135.0","510.4712799174037","450.09364475811003","53.95068366066788","3.3418282091431273","1196280.0","115593.0","103","63","0","1"
"81","81","616.9891977238083","2","49","1316.9746995187015","131.31949557491203","258.60612492496927","10.743682924853296","1418.5","132.0","510.60085154546385","448.6738013326366","54.94545734454182","3.3418282091431273","1155634.0","114370.0","103","63","0","1"
"82","82","552.2196903197279","2","48","1266.660307438317","130.10326111327583","201.72818180183515","10.589852467189209","1353.0","132.0","510.76300517850973","448.0214896547677","55.96541434532616","3.3418282091431273","1102670.0","112108.0","103","63","0","1"
"83","83","544.9517187191911","2","47","1250.7184730861914","127.78410137205721","215.62397781299734","10.22245753146719","1364.5","128.0","510.25489431588306","447.20577154107934","58.234497565223684","3.3418282091431273","1090945.0","110456.0","103","63","0","1"
"84","84","546.8154027963797","2","46","1247.2839854348758","124.38783993836253","227.07005670795905","7.862976731776556","1289.5","125.0","508.94461869786744","444.7772700570527","59.007015075323146","3.3418282091431273","1087198.0","108315.0","103","63","0","1"
"85","85","525.7345257134275","2","45","1232.3498012418572","125.30102253928871","208.78097537286015","9.017407078801822","1339.5","126.0","508.1635482677499","443.70610858501067","61.30822729955703","3.3418282091431273","1073599.0","108815.0","103","63","0","1"
"86","86","530.1519533553999","2","44","1242.5814891092111","123.80584596135232","235.60736032767738","9.517897944700717","1334.5","124.0","506.5244344072913","443.2749508231739","61.42760905268895","3.3418282091431273","1074682.0","107299.0","103","63","0","1"
"87","87","490.31184853337413","2","43","1209.5296595998932","122.35305691158847","178.76869886395954","9.213056767830228","1259.0","121.0","505.3715689741768","441.58653438871715","63.60999111822622","3.3418282091431273","1065686.0","106835.0","103","63","0","1"
"88","88","540.8724122137434","2","42","1274.1230815176618","123.16935077600128","198.03618376608858","8.15379324451256","1321.5","122.0","503.88439068022853","440.2761919221725","65.31057705901273","3.3418282091431273","1121983.0","106632.0","103","63","0","1"
"89","89","519.7461581161004","2","41","1256.8012848835226","121.50739474553069","181.58287978073693","8.689995651768742","1308.0","121.0","502.30333853518886","439.12118039121185","66.67655631200114","3.3418282091431273","1103237.0","105645.0","103","63","0","1"
"90","90","568.9337224165873","2","40","1288.2356310526754","119.29922548662255","192.26432000578538","8.15826314545173","1385.0","118.0","500.43946549174535","438.0140560578253","68.68815574921224","3.3418282091431273","1130815.0","102881.0","103","63","0","1"
"91","91","543.2262579115011","2","39","1249.0324529356647","116.83212356477253","192.5003112610445","7.3509144576553265","1306.0","117.0","499.31464086906624","436.7102641660187","69.81621945705628","3.3418282091431273","1107793.0","102284.0","103","63","0","1"
"92","92","544.0674571189817","2","38","1261.6251714571465","117.40626307608993","189.89938373214824","7.431519403020687","1314.0","117.0","499.1375697982901","434.89999596203637","71.01558356471126","3.3418282091431273","1115460.0","102479.0","103","63","0","1"
"93","93","592.0334305730479","2","37","1303.3960543956223","116.54960556399892","214.93618239625405","6.741185876552433","1360.5","116.0","498.4017768690542","433.67821871767956","71.5921774843066","3.3418282091431273","1140103.0","100075.0","103","63","0","1"
"94","94","621.1638625198639","2","36","1334.8302500252541","117.02343415607963","218.78026617675462","7.154702371001883","1395.0","117.0","497.1912445989758","432.67865948424156","72.50694802678811","3.3418282091431273","1173290.0","101190.0","103","63","0","1"
"95","95","650.7628020069109","2","35","1349.2709309638653","115.30507325783269","269.0820514560679","6.754356563008771","1436.0","115.0","495.1743760568371","432.239898890946","72.9971342261527","3.3418282091431273","1189740.0","100419.0","103","63","0","1"
"96","96","652.4976734280841","2","34","1346.344326463364","114.6438445039352","265.4501279412155","6.605099511385297","1437.0","115.0","493.4930275068069","431.74381864855076","73.99800657327239","3.3418282091431273","1158902.0","98157.0","103","63","0","1"
"97","97","650.8885590115118","2","33","1331.9779199663155","113.5249207093499","271.6236783594735","6.26751865754138","1475.0","113.0","491.7088126996061","430.4410518715598","74.73003017646482","3.3418282091431273","1158856.0","97756.0","103","63","0","1"
"98","98","630.6187342070707","2","32","1328.4614173094026","113.31248689992721","266.0519785977121","6.080913323562645","1429.5","114.0","490.2831447339232","429.92077034233876","75.59555011322036","3.3418282091431273","1159008.0","98610.0","103","63","0","1"
"99","99","685.186368166226","2","31","1371.5647716302135","112.6280009087487","293.68247055372603","6.028089243417364","1474.0","112.0","488.61838677879877","428.35140206655655","76.17550404761417","3.3418282091431273","1195294.0","97299.0","103","63","0","1"
"100","100","735.1938841634653","2","30","1390.983843447704","110.79347799539353","312.6910629562029","5.485929956641869","1529.5","110.0","487.6518915930095","426.7096981653991","77.65558387285209","3.3418282091431273","1200819.0","94523.0","103","63","0","1"
"101","101","732.1674163382613","2","29","1388.1530548281971","110.08860564536018","285.949715877035","5.1645793378563125","1461.0","110.0","486.3593605917463","425.7240470254575","78.39816477711318","3.3418282091431273","1204459.0","94612.0","103","63","0","1"
"102","102","733.808920344332","2","28","1369.932130378871","109.57268480503815","311.3191191862079","4.687287401278285","1543.0","109.0","485.8666492926046","423.7711429441938","79.18448038125086","3.3418282091431273","1192614.0","94537.0","103","63","0","1"
"103","103","758.6880641371097","2","27","1396.6980409323912","109.61979348710516","341.9157421003197","4.871505991447999","1531.5","109.0","483.7805302466206","420.97787728013134","80.39315876766227","3.3418282091431273","1219881.0","94944.0","103","63","0","1"
"104","104","761.7011961945012","2","26","1387.5727868680472","108.78934477608824","349.1080071993452","4.514641883688547","1511.0","109.0","482.0188085431725","419.94442440584726","81.39991961463457","3.3418282091431273","1201654.0","94251.0","103","63","0","1"
"105","105","696.9659844554377","2","25","1345.9466497836165","108.7179735078922","310.19477788989917","4.084249181963989","1530.0","108.0","481.3058190700978","418.5254564516787","82.7162173350464","3.3418282091431273","1165354.0","93159.0","103","63","0","1"
"106","106","704.9630710980374","2","24","1333.9991640856026","108.04977609764022","326.3546463507852","4.140489920147436","1443.0","108.0","479.9515018300315","416.39830184211445","85.01754460236927","3.3418282091431273","1167329.0","94148.0","103","63","0","1"
"107","107","722.7835819856683","2","23","1351.8760910332946","108.41055628197986","328.9382854783707","4.471432148889088","1476.0","108.0","478.22143407747825","414.7896886967433","86.51933248911402","3.3418282091431273","1163318.0","92461.0","103","63","0","1"
"108","108","699.8256218712677","2","22","1370.485674902984","108.05410510151924","320.6326412724406","4.048703109773478","1529.0","108.0","477.10007825382837","412.51343368587925","86.64823274177107","3.3418282091431273","1185267.0","92215.0","103","63","0","1"
"109","109","705.6842807498082","2","21","1360.0837569091425","107.88520598393183","318.5928573608228","4.0691140653625695","1527.5","108.0","476.2079566162448","410.6444376363162","87.45665587650223","3.3418282091431273","1193708.0","93179.0","103","63","0","1"
"110","110","746.5388247813687","2","20","1398.1824494562588","107.88502452922633","346.5862410695437","4.040212971436544","1532.5","107.5","474.25980155727615","408.40356814866186","87.93595670030201","3.3418282091431273","1233059.0","94269.0","103","63","0","1"
"111","111","787.897778800888","2","19","1394.0310027544301","108.14942055960118","347.08363304579274","4.197088918572497","1487.5","108.0","473.53183352797896","406.99260884089836","87.91055831522911","3.3418282091431273","1232511.0","95526.0","103","63","0","1"
"112","112","759.9223384921387","2","18","1365.2413398626504","107.84591495427465","328.03662182398335","4.270724070458338","1458.0","107.0","473.5315611260188","404.8979737559229","88.16540948835501","3.3418282091431273","1180376.0","92278.0","103","63","0","1"
"113","113","743.1509289083161","2","17","1372.1177374213394","107.69446661981931","315.74606327722057","4.103758433477203","1549.0","107.0","472.39587839174027","402.82845484463803","88.2992682914692","3.3418282091431273","1203195.0","93364.0","103","63","0","1"
"114","114","757.0382652192897","2","16","1373.4035594993256","107.8593006414182","300.7838828421211","3.8714487643572757","1538.5","108.0","471.4456973579157","401.1419157775597","88.80064016612816","3.3418282091431273","1201533.0","92429.0","103","63","0","1"
"115","115","722.8966307638484","2","15","1346.1490202025086","107.6158388565974","312.5008476147656","3.8645716083892308","1509.0","107.0","470.6614583765762","400.0986673740177","88.9479061174676","3.3418282091431273","1183351.0","92677.0","103","63","0","1"
"116","116","725.5185671418785","2","14","1340.5686922565717","108.10838944854804","303.543309306279","4.147715833900934","1527.5","107.0","469.75879043048906","398.41993608790796","88.3371831242092","3.3418282091431273","1178345.0","93997.0","103","63","0","1"
"117","117","749.635703704796","2","13","1351.6458619424373","107.44053922726665","292.26009192293174","3.9797992081185787","1503.5","107.0","469.94319485412683","396.85966599731756","87.59043047810162","3.3418282091431273","1203157.0","93411.0","103","63","0","1"
"118","118","763.6008472892527","2","12","1365.3124607337377","107.88691804568151","314.10435515136487","4.125963735763189","1553.5","108.0","468.95620666645596","395.8122166168072","86.92642942520557","3.3418282091431273","1196404.0","93742.0","103","63","0","1"
"119","119","748.0548132793358","2","11","1369.2102297715153","107.85223023965312","326.6781516791948","4.00427146542478","1479.5","108.0","467.57935492053315","393.34796386750793","85.12096549170226","3.3418282091431273","1182654.0","92664.0","103","63","0","1"
"120","120","791.1819068179458","2","10","1386.8812010007362","107.80073513747607","347.9080000103336","3.9008566576770884","1570.0","107.0","465.78469505253264","392.68927368816475","84.23355698798747","3.3418282091431273","1213132.0","93096.0","103","63","0","1"
