"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","Adaxial","Somite1","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," ","Median ch0","Median ch1"," "," ","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","","","","",""
"61","61","","1","60","1576.45326645752","108.0851739638755","678.5200202574391","4.153298786481248","1481.0","108.0","573.1237958325664","391.71494975126427","133.8800992707184","2.2825136323633135","426615.0","29887.0","50","61","0","1","0"
"62","62","","2","49","1550.0769947930348","106.43866023532347","280.7057226482748","3.576740946449066","1610.0","106.0","565.3460924511778","414.5698156633766","135.50659613665115","2.2825136323633135","431017.0","28943.0","168","99","0","1","0"
"63","63","","2","34","1318.6980493109202","106.1131516734011","217.65978648246212","3.357387721081076","1390.0","106.0","529.3578565375333","429.5450598873589","129.25431613065376","2.2825136323633135","390709.0","31086.0","55","116","0","1","0"
"64","64","","1","60","1530.8165322396912","107.05752629965953","292.0512516703994","3.6764623320769334","1671.0","107.0","598.7327180290074","412.9377882269443","124.34597618574901","2.2825136323633135","453910.0","31541.0","168","99","0","1","0"
"65","65","","1","60","1446.284512672826","108.43512548994332","224.23780150701904","4.125680640557583","1503.5","108.0","615.670262685539","420.4006841176563","125.9276353229414","2.2825136323633135","421585.0","31208.0","141","61","0","1","0"
"66","66","","1","60","1190.8489489468761","107.03452352417764","220.5166111961425","3.755355183760615","1243.0","107.0","610.4789836215091","415.82191795254585","126.19326676722275","2.2825136323633135","341219.0","30509.0","66","61","0","1","0"
"67","67","","1","60","1342.135745059749","119.46929732901147","194.8981814160797","8.635617632648772","1443.5","121.0","625.2583332116507","416.036166627577","126.79732128016958","2.2825136323633135","348382.0","30489.0","101","61","0","1","0"
"68","68","","1","60","1678.3069100403577","108.36709414953211","333.54488684413104","4.012655763992437","1807.0","108.0","593.2700429300112","393.93429221652","138.48877276846278","2.2825136323633135","462022.0","29543.0","18","61","0","1","0"
"69","69","","1","60","1431.1782962337766","107.55783943749736","261.43919981194966","3.8504816374295854","1543.0","107.0","589.9099055067938","399.73918939106267","138.44615698740418","2.2825136323633135","404298.0","29746.0","75","61","0","1","0"
"70","70","","1","60","1543.4481761944423","109.10685604916067","176.1927541551691","4.715815078736519","1646.0","109.0","582.3750532778857","397.8068594297937","138.61145707791823","2.2825136323633135","414162.0","28575.0","30","61","0","1","0"
"71","71","","1","60","1496.8417838645862","109.83836527776013","249.4423685593833","5.141919396325049","1488.0","110.0","592.8289433519793","408.4612289463182","136.30577783478918","2.2825136323633135","442455.0","32235.0","102","61","0","1","0"
"72","72","","2","32","1603.8794690924603","106.63307728522028","244.46052655140116","3.7480038349227915","1726.5","106.0","513.5450029220318","427.44846333988363","147.79440501319493","2.2825136323633135","421430.0","27418.0","168","99","0","1","0"
"73","73","","1","60","1362.5374646652158","113.59255638655898","274.91147532009364","6.042206967243859","1456.0","114.0","609.658712988195","398.9140134217146","120.34210948657417","2.2825136323633135","389887.0","31979.0","154","61","0","1","0"
"74","74","","1","60","1518.9744519249343","139.86554359947965","288.368614411677","19.547204713438106","1620.0","137.0","613.3243174859518","392.1926220815756","120.39538347632424","2.2825136323633135","433563.0","38888.0","93","61","0","1","0"
"75","75","","2","49","1034.814073598257","110.3467632520243","163.1903944336466","4.882507691342721","1056.0","110.0","571.7840602507005","393.8253557892943","152.85477187993126","2.393920493691635","342319.0","36118.0","38","61","0","1","0"
"76","76","","2","59","1854.7725098960098","111.1657609553706","233.46603339577135","5.282343336182993","1904.0","111.0","589.6637790038541","405.8519842884643","121.72268697365517","2.2825136323633135","544958.0","32276.0","86","61","0","1","0"
"77","77","","1","60","1725.4407037187243","107.14763086297184","304.6923665968722","3.8612125520632237","1879.0","107.0","597.0327425669267","415.3112566825396","120.27646954088705","2.2825136323633135","504438.0","30738.0","13","61","0","1","0"
"78","78","","1","60","1495.527095253678","108.97966314914882","305.60520410084644","4.2793082795432715","1685.0","109.0","585.6286422007048","409.1035664156181","120.58394242296184","2.2825136323633135","391236.0","28583.0","68","82","0","1","0"
"79","79","","1","60","1586.5314817986887","109.40336606169637","244.4279080252943","4.391279517708004","1722.5","109.0","580.6393482650975","406.6613494860747","120.71368672832561","2.2825136323633135","405308.0","27689.0","68","82","0","1","0"
"80","80","","2","3","2088.3639682235103","107.06105012988711","907.4761007710305","3.6494028688094264","2263.0","107.0","473.2171081798722","395.3490576696708","80.72668728593119","2.2825136323633135","602994.0","30869.0","186","121","0","1","0"
"81","81","","1","60","1426.369114866583","108.1660668708276","287.84886515721803","4.4173387272007485","1476.0","107.0","571.7397969741193","399.8009718870441","118.6390363585014","2.2825136323633135","413533.0","30993.0","129","61","0","1","0"
"82","82","","2","59","1330.5816999739418","108.47747287698452","294.58599267540643","4.33186170916915","1383.0","108.0","577.5170268578975","394.4040632019199","118.93408186763433","2.510764995599645","479618.0","39337.0","114","69","0","1","0"
"83","83","","2","49","1642.425658212575","120.36834457341946","273.0593605643964","8.020029628160422","1666.0","120.0","580.9954881098155","391.6919936549469","138.47271698559442","2.2825136323633135","456223.0","33344.0","90","61","0","1","0"
"84","84","","1","60","1377.2412226416318","110.28940957826313","290.7713137330788","4.6872591476343874","1575.5","110.0","586.0762262173733","390.40842351992717","117.37591075601534","2.2825136323633135","392294.0","30944.0","60","61","0","1","0"
"85","85","","1","60","1306.539502901861","109.51612959556836","182.3900947201009","4.408445617965364","1395.5","110.0","575.6887438287005","379.4388076902123","113.28954215685685","2.2825136323633135","330271.0","27307.0","109","79","0","1","0"
"86","86","","1","60","1500.006526336367","107.06953082929381","287.80856924929","3.811062183762897","1507.0","107.0","574.874035171507","390.2669612879731","109.26913429500625","2.2825136323633135","433987.0","30754.0","156","61","0","1","0"
"87","87","","1","60","1535.3036052710545","107.3583196513602","278.99551380105777","3.7273243157947946","1598.0","107.0","575.5868374495861","397.5983564605091","109.15186557836873","2.2825136323633135","432240.0","30181.0","73","61","0","1","0"
"88","88","","1","60","1581.034974288056","108.00789683422508","266.3439378275377","3.9018213835594384","1606.5","108.0","574.2637509384017","405.13240415633004","108.97419519010005","2.2825136323633135","434871.0","29298.0","23","62","0","1","0"
"89","89","","1","60","1829.1541966162542","109.86617778171832","381.7165253815275","4.6530443422806655","1966.0","109.0","593.194056618483","394.5544134732195","109.81983914356414","2.2825136323633135","526033.0","30938.0","41","61","0","1","0"
"90","90","","1","60","1708.8768647977297","106.96849950064724","390.003169552425","3.656324311978545","1873.5","107.0","600.6236914925238","403.6211291332881","109.92107580934204","2.2825136323633135","486029.0","29523.0","100","61","0","1","0"
"91","91","","1","60","1501.8527441397523","106.55716348454656","336.6351514831582","3.499254059003707","1443.0","106.0","594.254374491524","411.4349136004637","111.98720347365563","2.2825136323633135","415841.0","28956.0","40","61","0","1","0"
"92","92","","1","60","1572.557685846038","106.7652764327935","299.285992088833","3.5045348154570486","1698.5","107.0","588.5098081571433","413.5940452698076","109.42185173759424","2.2825136323633135","462396.0","30953.0","124","107","0","1","0"
"93","93","","1","60","1470.5123713652802","108.76812825558348","349.32448221446657","4.538381712288723","1689.0","108.0","612.5398826284323","411.76856111324724","109.87308856729474","2.2825136323633135","413875.0","30159.0","134","61","0","1","0"
"94","94","","2","58","1573.7603845592828","111.71753993081664","281.71326873216896","6.0803763003430005","1676.5","111.0","612.1074300822237","409.63996901348816","112.22279972063677","2.2825136323633135","454443.0","31805.0","67","104","0","1","0"
"95","95","","2","59","1640.0793191938296","108.55280694698217","289.94512681790025","4.006347647926989","1841.5","109.0","609.9810494976591","413.3303227593148","110.17092722206411","2.2825136323633135","426054.0","27466.0","134","61","0","1","0"
"96","96","","1","60","1315.5337189606953","151.62225981708153","280.33386737385894","19.746693262167238","1515.5","157.0","625.9008796371298","401.2042554745392","110.2081547105393","2.393920493691635","405945.0","46422.0","77","105","0","1","0"
"97","97","","2","57","1364.757768305606","111.57760409332239","295.897322414731","5.236119825470158","1381.5","112.0","609.8165142792346","410.41981163301494","114.61235750635643","2.2825136323633135","369011.0","29469.0","67","104","0","1","0"
"98","98","","1","60","1328.279819328622","110.05921205259939","251.6765317823038","4.820341348455289","1473.5","110.0","607.8560553800934","403.2140574058501","109.94061842196116","2.2825136323633135","374221.0","30329.0","153","61","0","1","0"
"99","99","","2","59","1666.319462246425","108.82850121151816","258.7515373945067","4.1908457792335465","1845.0","108.0","602.9732995996402","396.64498903589913","110.26325331564905","2.2825136323633135","431886.0","27119.0","74","61","0","1","0"
"100","100","","1","60","1440.147576173011","139.31479276541816","282.6031837884962","12.249052603613132","1538.0","141.0","616.5974471136083","396.81636002220563","105.0859350600523","2.2825136323633135","428611.0","40773.0","92","61","0","1","0"
"101","101","","1","60","1517.959034797939","112.79604644626968","294.39715213411665","5.945832950330919","1539.5","112.0","618.7365232704925","402.3154800276507","105.14103211325141","2.2825136323633135","442212.0","32319.0","186","121","0","1","0"
"102","102","","1","60","1404.271748016023","136.30312754541302","239.9164156284616","11.048670205311495","1492.0","138.0","620.3656819270421","390.7082284152402","105.37200842769401","2.2825136323633135","399085.0","38036.0","140","61","0","1","0"
"103","103","","1","60","1104.4638293250466","108.19554142322856","314.63012974495166","4.40221236542446","1055.5","108.0","598.7264156130677","415.09040667830806","108.34036666698346","2.2825136323633135","310523.0","30326.0","88","61","0","1","0"
"104","104","","2","34","1251.5553618341978","108.11570564020964","150.50675677083157","4.13584480272651","1290.0","108.0","524.9014619165969","388.2075105283621","159.62529990885062","2.393920493691635","391139.0","33139.0","64","61","0","1","0"
"105","105","","1","60","1469.4238578619309","106.04252445965028","279.4275289432324","3.583397517619006","1543.5","106.0","592.5677608272973","403.83503190398847","104.67381216317459","2.2825136323633135","422341.0","29993.0","108","61","0","1","0"
"106","106","","1","60","1404.0945175584118","107.70210713609706","299.13085025226377","4.442109532812924","1416.0","107.0","594.8082701089176","415.3414535544323","104.49612663019462","2.2825136323633135","386191.0","29259.0","104","74","0","1","0"
"107","107","","2","59","1231.45577216139","153.37579353757837","203.19030163514643","19.164401477168152","1262.0","155.0","609.7187421114115","398.98589535437213","103.51668191366541","2.2825136323633135","364765.0","44679.0","42","61","0","1","0"
"108","108","","1","60","1708.6665979867337","107.53739426987948","258.655498817954","3.8831987349831625","1770.5","107.5","587.2919218591093","389.1442806654993","106.86148115793651","2.2825136323633135","487339.0","30071.0","171","61","0","1","0"
"109","109","","1","60","1398.1715705661761","110.23244553300796","232.06747390163895","5.054451819738574","1437.0","110.0","577.4984731571785","390.18606188837634","104.6329842020728","2.2825136323633135","395148.0","30814.0","25","71","0","1","0"
"110","110","","2","59","1645.5978605452835","107.2619809504068","274.60966618023895","3.8511901746338544","1726.5","107.0","584.2511993571079","388.9771393620049","108.56594179880597","2.2825136323633135","446420.0","28188.0","171","61","0","1","0"
"111","111","","1","60","1398.009210856921","107.10409300944572","263.3718723365654","3.7187436175127346","1530.0","107.0","579.973284771143","410.4183966127201","108.37920493070003","2.2825136323633135","401335.0","30299.0","124","107","0","1","0"
"112","112","","1","60","1316.1386010079993","108.74380471815778","167.7525249816011","3.840326498867364","1356.5","109.0","588.163799375909","396.6301881278255","123.71200483805019","2.2825136323633135","340731.0","27287.0","106","61","0","1","0"
"113","113","","1","60","1552.0791971831509","106.9730217747398","205.00884231098712","3.864353992533446","1615.5","106.0","597.6757997255861","403.0053794001115","127.16663982048989","2.2825136323633135","444431.0","30038.0","70","61","0","1","0"
"114","114","","1","60","1477.7343564150092","106.0234845603418","291.2130812968499","3.434909434730549","1542.0","106.0","590.2012110375126","412.71771139131357","100.0600787146045","2.2825136323633135","401619.0","28412.0","133","61","0","1","0"
