Label,ID,Detection quality,Spot N links,Spot frame,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot median intensity,Spot median intensity,Spot position,Spot position,Spot position,Spot radius,Spot track ID,Track N spots,TB,TB to PSM,TB to Somite,checked,other
,, , , ,Mean ch0,Mean ch1,Std ch0,Std ch1,Median ch0,Median ch1,X,Y,Z, , , ,Tag,Tag,Tag,Tag,Tag
,,,,,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(micron),(micron),(micron),(micron),,,,,,,
99,99,610.1775536,2,110,170.8855033,2639.550556,13.74267701,288.1344448,169,2513,360.9623765,496.3037938,127.9831105,1.467255334,0,210,0,0,1,1,0
100,100,592.2875099,2,111,168.6647669,2556.257721,13.43828062,278.3937337,162,2403,361.1443376,496.058909,127.8185177,1.467255334,0,210,0,0,1,1,0
101,101,693.9077266,2,112,171.7101458,2751.150049,13.52896389,312.9956284,168,2697,361.5316085,496.4853344,127.8300628,1.467255334,0,210,0,0,1,1,0
102,102,680.7884662,2,113,178.9792909,2641.865795,17.58552979,332.3327443,169,2522,361.6285809,496.012769,128.0040768,1.467255334,0,210,0,0,1,1,0
103,103,683.061919,2,114,181.2867864,2573.937516,17.15372354,336.6568767,176,2451,361.6157981,496.0054345,128.2264699,1.467255334,0,210,0,0,1,1,0
104,104,759.7684749,2,115,197.8127837,2763.523985,18.56342556,387.8954729,191,2695,361.6140163,496.3280778,128.4317328,1.467255334,0,210,0,0,1,1,0
105,105,761.2401503,2,116,213.6250927,2753.642902,23.51709926,369.9320988,204,2707,361.5846549,495.9251274,128.4206487,1.467255334,0,210,0,0,1,1,0
106,106,647.8436284,2,117,223.1433177,2609.513534,23.72495864,330.1359161,210,2472,361.5085983,496.1873721,128.1281823,1.467255334,0,210,0,0,1,1,0
107,107,687.0530495,2,118,245.7388517,2750.28848,27.36459405,329.7533206,232,2610,361.5671401,496.0148656,128.0332997,1.467255334,0,210,0,0,1,1,0
108,108,615.5060433,2,119,253.1143837,2728.589994,27.61624544,226.2658271,247,2678,361.6747724,494.9132852,127.9872477,1.467255334,0,210,0,0,1,1,0
109,109,572.2436493,2,120,279.2621924,2626.561226,30.05723104,212.0621181,268,2506,361.7287861,494.8866803,127.7093668,1.467255334,0,210,0,0,1,1,0
110,110,547.3088942,2,121,288.0625277,2597.608352,39.7786136,242.3713101,290,2525,362.2303701,496.1393061,126.6994233,1.467255334,0,210,0,0,1,1,0
111,111,538.5246369,2,122,304.5290453,2532.519173,37.52429447,261.9547975,304,2481,362.2883893,496.3424405,126.3996252,1.467255334,0,210,0,0,1,1,0
112,112,603.6583216,2,123,342.7050029,2648.110191,37.12184014,272.5854669,337,2565,361.7468549,495.5885766,127.3948898,1.467255334,0,210,0,0,1,1,0
113,113,476.6403911,2,124,349.755327,2586.843907,44.8658862,225.9587618,342,2520,361.7556408,495.1785643,127.2158399,1.467255334,0,210,0,0,1,1,0
114,114,506.5772728,2,125,353.3330192,2671.038092,39.60272978,229.5590985,354,2682,361.879863,496.0164585,126.6588776,1.467255334,0,210,0,0,1,1,0
115,115,594.4592049,2,126,350.382548,2551.316511,45.61237106,294.5885777,340,2537,361.9032327,496.8103454,125.6620523,1.467255334,0,210,0,0,1,1,0
116,116,562.7740515,2,127,349.4437253,2543.89586,45.15021785,286.374146,336,2459,361.8140806,496.6341511,125.8487903,1.467255334,0,210,0,0,1,1,0
117,117,506.7317038,2,128,377.7682537,2686.966976,47.109236,225.4860999,372,2677,361.451058,495.3208453,127.4376032,1.467255334,0,210,0,0,1,1,0
118,118,442.7499841,2,129,378.4031012,2625.560402,60.89945902,225.945647,370,2619,361.0510945,495.000178,126.6237791,1.467255334,0,210,0,0,1,1,0
119,119,513.7848203,2,130,330.6110504,2549.984531,38.56904184,251.0667851,330,2553,361.6610602,496.3041295,125.9848213,1.467255334,0,210,0,0,1,1,0
120,120,487.1418099,2,131,333.1421546,2524.602709,39.9317231,269.5141284,322,2488,361.0967692,495.2797926,126.3739142,1.467255334,0,210,0,0,1,1,0
121,121,612.0764042,2,133,346.2873456,2593.384694,49.32289859,325.364785,326,2529,360.8191941,493.8518107,127.283768,1.467255334,0,210,0,0,1,1,0
122,122,615.7185042,2,134,317.2365878,2437.876069,39.42102101,328.4057165,306,2348,360.537354,493.705174,127.076975,1.467255334,0,210,0,0,1,1,0
123,123,525.936239,2,135,316.5925819,2413.184421,37.22041188,320.4541592,306,2427,360.9037561,493.222091,127.3709495,1.467255334,0,210,0,0,1,1,0
124,124,504.9188541,2,136,302.5566894,2455.773136,38.9913058,272.1843304,286,2363,361.2964873,492.5139828,127.7446127,1.467255334,0,210,0,0,1,1,0
125,125,389.2257522,2,137,283.3015019,2248.299105,28.92420062,288.8477552,272,2253,360.5218906,492.5917778,127.3540548,1.467255334,0,210,0,0,1,1,0
126,126,590.1337865,2,138,262.9334953,2483.645388,24.04935666,270.7087647,258,2395,361.5463638,493.0655131,127.3426104,1.467255334,0,210,0,0,1,1,0
127,127,,2,139,248.9316179,2454.244779,23.73298142,264.7844659,241,2268,361.4837666,492.5021384,127.3426104,1.467255334,0,210,0,0,1,1,0
128,128,,2,140,244.9034593,2539.802945,21.46328441,250.0876239,241,2427,361.4837666,492.5021384,127.3426104,1.467255334,0,210,0,0,1,1,0
129,129,,2,141,241.6891749,2454.446861,23.57037296,202.8183496,234,2409,361.4837666,492.5021384,127.3426104,1.467255334,0,210,0,0,1,1,0
130,130,,2,145,193.8455082,2487.248052,20.49245257,255.4401518,191,2369,361.4437261,490.8325431,126.9273958,1.467255334,0,210,0,0,1,1,0
131,131,,2,146,198.7910061,2459.130913,15.49848157,226.8033544,195,2408,360.8177542,491.0829319,126.9273958,1.467255334,0,210,0,0,1,1,0
132,132,,2,147,196.256574,2470.917188,18.71382494,231.8379674,191,2364,361.1307402,491.3333206,126.9273958,1.467255334,0,210,0,0,1,1,0
133,133,,2,148,189.6890093,2490.980677,16.76887429,263.9243421,188,2380,361.1307402,491.3333206,126.9273958,1.467255334,0,210,0,0,1,1,0
134,134,,2,149,189.3445804,2496.673452,14.18471105,253.469424,189,2344,360.9429486,491.145529,126.9273958,1.467255334,0,210,0,0,1,1,0
135,135,,2,150,185.8797595,2390.320254,14.65623901,298.7240216,185,2297,360.9429486,491.145529,126.9273958,1.467255334,0,210,0,0,1,1,0
