"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","TB","TB to PSM","TB to Somite","checked","other"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","","",""
"271 ? 272","268","2.092392601480449","271.0","272.0","2.092392601480449","1","0","0","1","0"
"272 ? 273","269","1.8563431919708557","272.0","273.0","1.8563431919708557","1","0","0","1","0"
"273 ? 274","270","1.3283030924153065","273.0","274.0","1.3283030924153065","1","0","0","1","0"
"274 ? 275","271","0.9438703836587106","274.0","275.0","0.9438703836587106","1","0","0","1","0"
"275 ? 276","272","0.7552438091827967","275.0","276.0","0.7552438091827967","1","0","0","1","0"
"276 ? 277","273","0.33278439520793407","276.0","277.0","0.33278439520793407","1","0","0","1","0"
"277 ? 278","274","0.4837942176135813","277.0","278.0","0.4837942176135813","1","0","0","1","0"
"278 ? 279","275","1.1318160223571687","278.0","279.0","1.1318160223571687","1","0","0","1","0"
"279 ? 280","276","2.114197039906044","279.0","280.0","2.114197039906044","1","0","0","1","0"
"280 ? 281","277","1.8663184000647257","280.0","281.0","1.8663184000647257","1","0","0","1","0"
"281 ? 282","278","1.774475277612951","281.0","282.0","1.774475277612951","1","0","0","1","0"
"282 ? 283","279","1.055749117231183","282.0","283.0","1.055749117231183","1","0","0","1","0"
"283 ? 284","280","1.8437865672387148","283.0","284.0","1.8437865672387148","1","0","0","1","0"
"284 ? 285","281","1.0882412811241717","284.0","285.0","1.0882412811241717","1","0","0","1","0"
"285 ? 286","282","0.590181698328584","285.0","286.0","0.590181698328584","1","0","0","1","0"
"286 ? 287","283","1.2152584963941373","286.0","287.0","1.2152584963941373","1","0","0","1","0"
"287 ? 288","284","1.5836236758467794","287.0","288.0","1.5836236758467794","1","0","0","1","0"
"288 ? 289","285","1.7978759622815428","288.0","289.0","1.7978759622815428","1","0","0","1","0"
"289 ? 290","286","1.0882412811242217","289.0","290.0","1.0882412811242217","1","0","0","1","0"
"290 ? 291","287","1.186250532412844","290.0","291.0","1.186250532412844","1","0","0","1","0"
"291 ? 292","288","1.015386987135621","291.0","292.0","1.015386987135621","1","0","0","1","0"
"292 ? 293","289","0.9733525922060831","292.0","293.0","0.9733525922060831","1","0","0","1","0"
"293 ? 294","290","0.8346429620406607","293.0","294.0","0.8346429620406607","1","0","0","1","0"
"294 ? 295","291","1.1135526013033603","294.0","295.0","1.1135526013033603","1","0","0","1","0"
"295 ? 296","292","1.903278788101469","295.0","296.0","1.903278788101469","1","0","0","1","0"
"296 ? 297","293","0.9516393940507097","296.0","297.0","0.9516393940507097","1","0","0","1","0"
"297 ? 298","294","1.2547435018479793","297.0","298.0","1.2547435018479793","1","0","0","1","0"
"298 ? 299","295","1.7978759622815463","298.0","299.0","1.7978759622815463","1","0","0","1","0"
"299 ? 300","296","1.4213457478191556","299.0","300.0","1.4213457478191556","1","0","0","1","0"
"300 ? 301","297","1.4359740482643395","300.0","301.0","1.4359740482643395","1","0","0","1","0"
"301 ? 302","298","0.8346429620406607","301.0","302.0","0.8346429620406607","1","0","0","1","0"
"302 ? 303","299","1.008502928187431","302.0","303.0","1.008502928187431","1","0","0","1","0"
"303 ? 304","300","0.9733525922060833","303.0","304.0","0.9733525922060833","1","0","0","1","0"
"304 ? 305","301","1.3703820491996337","304.0","305.0","1.3703820491996337","1","0","0","1","0"
"305 ? 306","302","0.0","305.0","306.0","0.0","1","0","0","1","0"
"306 ? 307","303","0.0","306.0","307.0","0.0","1","0","0","1","0"
"307 ? 308","304","0.9218932836193626","307.0","308.0","0.9218932836193626","1","0","0","1","0"
"308 ? 309","305","1.0623270569914671","308.0","309.0","1.0623270569914671","1","0","0","1","0"
"309 ? 310","306","1.1135526013033603","309.0","310.0","1.1135526013033603","1","0","0","1","0"
"310 ? 311","307","0.5901816983285739","310.0","311.0","0.5901816983285739","1","0","0","1","0"
"311 ? 312","308","0.48667629610304025","311.0","312.0","0.48667629610304025","1","0","0","1","0"
"312 ? 313","309","1.4600288883090835","312.0","313.0","1.4600288883090835","1","0","0","1","0"
"313 ? 314","310","0.7465273600258986","313.0","314.0","0.7465273600258986","1","0","0","1","0"
"314 ? 315","311","0.8346429620406354","314.0","315.0","0.8346429620406354","1","0","0","1","0"
"315 ? 316","312","0.0","315.0","316.0","0.0","1","0","0","1","0"
"316 ? 317","313","2.607507969510342","316.0","317.0","2.607507969510342","1","0","0","1","0"
"317 ? 318","314","0.0","317.0","318.0","0.0","1","0","0","1","0"
"318 ? 319","315","1.8056087978056612","318.0","319.0","1.8056087978056612","1","0","0","1","0"
"319 ? 320","316","1.7862139410789044","319.0","320.0","1.7862139410789044","1","0","0","1","0"
"320 ? 321","317","1.0688645159690995","320.0","321.0","1.0688645159690995","1","0","0","1","0"
"321 ? 322","318","1.3458213375550354","321.0","322.0","1.3458213375550354","1","0","0","1","0"
"322 ? 323","319","0.7179870241321724","322.0","323.0","0.7179870241321724","1","0","0","1","0"
"323 ? 324","320","1.8146137760757526","323.0","324.0","1.8146137760757526","1","0","0","1","0"
"324 ? 325","321","0.0","324.0","325.0","0.0","1","0","0","1","0"
"325 ? 326","322","0.5007857772244008","325.0","326.0","0.5007857772244008","1","0","0","1","0"
"326 ? 327","323","1.9496622321903712","326.0","327.0","1.9496622321903712","1","0","0","1","0"
"327 ? 328","324","1.1862505324127686","327.0","328.0","1.1862505324127686","1","0","0","1","0"
"328 ? 329","325","0.6356451423308246","328.0","329.0","0.6356451423308246","1","0","0","1","0"
"329 ? 330","326","2.632892017830383","329.0","330.0","2.632892017830383","1","0","0","1","0"
"330 ? 331","327","0.5380182951898499","330.0","331.0","0.5380182951898499","1","0","0","1","0"
"331 ? 332","328","0.783366462285069","331.0","332.0","0.783366462285069","1","0","0","1","0"
