"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot track ID","Track N spots","TBtoPSMd","TBtoSom","TBtoSom25","TBtoTB","checked"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1"," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","","","","","","",""
"2051","2051","136.5581793048834","2","223","152.38972058295838","482.26114663846414","13.073398214456184","57.686170645534865","151.0","472.0","0","87","0","0","0","1","1"
"2052","2052","","2","193","155.37452130180142","730.4660646955401","18.01626219804229","52.299805702375366","152.0","730.0","0","87","0","0","0","1","1"
"2053","2053","","2","192","166.46515345638448","743.2919033890626","15.073272389685059","51.59289682766025","162.0","741.0","0","87","0","0","0","1","1"
"2054","2054","","2","220","163.14893354635922","542.7696249793702","17.98351922740936","61.801008130491134","163.0","554.0","0","87","0","0","0","1","1"
"2055","2055","","2","219","190.1830700623867","571.3637127411761","18.62247291420393","65.94461598414108","189.0","575.0","0","87","0","0","0","1","1"
"2056","2056","","2","191","149.9144865861923","752.5956547858053","16.05973990690591","57.118298472409506","144.0","755.0","0","87","0","0","0","1","1"
"2057","2057","","2","217","177.9135437922278","581.1529041220294","20.51004879314006","87.10324759702371","161.0","494.0","0","87","0","0","0","1","1"
"2058","2058","","2","190","143.3989728985086","774.1924381271838","15.219075195427775","51.746402855101486","141.0","766.0","0","87","0","0","0","1","1"
"2059","2059","","2","215","169.76440757708303","640.6101456473272","18.442267274052895","83.49801793840756","164.0","637.0","0","87","0","0","0","1","1"
"2060","2060","","2","214","160.48917849445115","636.9777908665046","17.97032658746746","80.4055080080409","152.0","643.0","0","87","0","0","0","1","1"
"2061","2061","","2","213","155.40794433512465","658.229191059353","16.09506350150729","93.69239956995736","147.0","628.0","0","87","0","0","0","1","1"
"2062","2062","","2","211","144.25425487424468","677.1648610024662","14.60205414064852","76.6439139661079","141.0","686.0","0","87","0","0","0","1","1"
"2063","2063","","2","210","146.375593809663","675.178345850172","14.731863078993555","77.14289087437821","142.0","675.0","0","87","0","0","0","1","1"
"2064","2064","","2","209","158.39316803510852","680.7509750267491","18.582920298541104","81.82815784692028","153.0","674.0","0","87","0","0","0","1","1"
"2065","2065","","2","208","162.2210386279568","736.1331297384522","21.130588840780412","81.3816118437531","154.0","723.0","0","87","0","0","0","1","1"
"2066","2066","","2","207","170.92945860488663","765.381421793847","19.361640181141148","92.50076635479662","161.0","748.0","0","87","0","0","0","1","1"
"2067","2067","","2","195","162.0490334121165","738.616147500406","14.949749648743897","44.53537476245007","160.0","742.0","0","87","0","0","0","1","1"
"2068","2068","","2","194","156.667306512404","738.7871232624831","16.94109300148623","48.685809933582746","156.0","732.0","0","87","0","0","0","1","1"
"2069","2069","","2","204","158.48650722479448","874.1666686456236","15.131542335607556","99.93771803527311","155.0","861.0","0","87","0","0","0","1","1"
"2070","2070","","2","196","173.4748537041495","727.2904694867765","16.8990328937203","43.93312618585426","167.0","711.0","0","87","0","0","0","1","1"
"2071","2071","210.38809769449134","2","202","177.9781228526551","852.560622697564","20.4186688859925","90.11227876930144","164.0","814.0","0","87","0","0","0","1","1"
"2072","2072","171.6867216683607","2","201","177.85639521668415","788.0765513602857","20.22190901918176","76.47909669194081","165.0","770.0","0","87","0","0","0","1","1"
"2073","2073","173.74857531718177","2","200","185.8200199567514","797.0557851767724","20.001500755002347","73.4545588132979","181.0","791.0","0","87","0","0","0","1","1"
"2074","2074","","2","189","155.87012464697298","769.8531125412952","14.64903556809771","56.83290935908476","147.0","755.0","0","87","0","0","0","1","1"
"2075","2075","","2","236","137.66018812022435","386.68508325488557","15.140308538118335","51.31917054310988","132.0","371.0","0","87","0","0","0","1","1"
"2076","2076","","2","235","149.74739223910228","402.3398183946547","13.752000946577416","46.29342848359985","147.0","398.0","0","87","0","0","0","1","1"
"2077","2077","","2","234","148.21437607334502","410.0869112593137","13.278146282246606","48.92011808309652","148.0","411.0","0","87","0","0","0","1","1"
"2078","2078","","2","233","150.79680628918396","422.7107894581479","16.26254926124381","48.39617944265403","147.0","425.0","0","87","0","0","0","1","1"
"2079","2079","","2","232","148.72958499138122","421.4878550041845","13.736992063408954","49.38200775086364","145.0","414.0","0","87","0","0","0","1","1"
"2080","2080","","2","231","148.51212207676636","416.75497311948686","13.972118432173895","48.83594317880651","145.0","383.0","0","87","0","0","0","1","1"
"2081","2081","","2","230","145.0014293659872","418.519178303154","12.955939693585426","59.747741803636146","141.0","401.0","0","87","0","0","0","1","1"
"2082","2082","","2","229","140.2153489716086","432.27415599284944","13.447503475346895","59.644383725201784","135.0","425.0","0","87","0","0","0","1","1"
"2083","2083","","2","198","184.07903595715752","677.3249374242317","15.205211102269974","51.08082702850022","179.0","651.0","0","87","0","0","0","1","1"
"2084","2084","","2","197","182.82735325618543","724.3028355584825","18.16238904992207","53.764137142781394","173.0","713.0","0","87","0","0","0","1","1"
"2085","2085","","2","94","122.0345164534083","2263.73910661068","7.225693383128636","122.17060894039031","103.0","3838.0","1","240","0","0","0","1","1"
"2086","2086","","1","282","179.7996845321076","467.6965356462297","21.041560755258732","63.736182797954534","180.0","469.0","2","81","0","0","0","1","1"
"2087","2087","","1","175","159.4026092832539","731.5494104220741","13.556900971534176","63.876588348883075","156.0","687.0","0","87","0","0","0","1","1"
"2088","2088","","1","10","118.24433411099814","3807.429288850423","5.327272957682684","179.13593108475044","118.0","3772.0","1","240","0","0","0","1","1"
"2114","2114","","1","282","119.56218837592243","354.65243434210385","7.0568399912823825","34.57392212285942","116.0","309.0","5","64","0","0","0","1","1"
"2115","2115","","1","282","677.4893525204043","208.19965143249968","181.77456789687113","26.464563348044543","636.0","211.0","4","83","0","0","0","1","1"
"2116","2116","","2","100","119.80647305353423","2268.3013263554394","7.57211019003792","137.64460660982527","103.0","3838.0","1","240","0","0","0","1","1"
"2118","2118","","2","93","121.61608944411759","2387.650817406284","6.657534646518307","112.9394586470221","103.0","3838.0","1","240","0","0","0","1","1"
"2119","2119","","2","92","124.37395986110506","2432.7438046697266","8.20562067803432","119.19461450942474","103.0","3838.0","1","240","0","0","0","1","1"
"2120","2120","","2","91","122.32196903315761","2528.963238204447","6.23972146964267","104.95091376938646","103.0","3838.0","1","240","0","0","0","1","1"
"2121","2121","","2","90","123.41769765716353","2574.5681615631074","6.835640225926536","113.93351126714897","103.0","3838.0","1","240","0","0","0","1","1"
"2122","2122","","2","89","124.14626931500652","2570.0697718085908","7.001411986752518","131.68952896941633","103.0","3838.0","1","240","0","0","0","1","1"
"2123","2123","","2","88","124.35948730609994","2687.8891087924603","7.681019075854446","112.69297645527509","103.0","3838.0","1","240","0","0","0","1","1"
"2124","2124","","2","87","122.69970140101407","2699.403337758786","6.8631227249829685","179.39753521978383","103.0","3838.0","1","240","0","0","0","1","1"
"2125","2125","","2","86","126.28907723681469","2603.7760310800104","6.785676546649482","144.13824483366523","103.0","3838.0","1","240","0","0","0","1","1"
"2126","2126","","2","85","123.71884730874055","2704.1622107649705","7.274677826450108","138.5077008868088","103.0","3838.0","1","240","0","0","0","1","1"
