"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"51","51","","2","61","157.1888760487289","3362.461286408044","11.882583145704979","242.88000115837397","354.8542458949881","492.92358162450074","119.947797473369","1.7753789543543217","0","210","0","0","1","1","0"
"52","52","","2","62","153.79143081054036","3151.597883546393","12.62040543077451","164.9963998699013","355.85580095221604","494.55110859249623","119.947797473369","1.7753789543543217","0","210","0","0","1","1","0"
"53","53","","2","63","160.11650065881244","3263.020519174741","11.839979557604076","188.5569818566897","355.2924262325253","494.9266917389567","119.947797473369","1.7753789543543217","0","210","0","0","1","1","0"
"54","54","","2","64","160.88932158074093","3296.3093455815447","11.840499978399984","202.74997465157765","355.0420374682183","495.4274692675707","119.947797473369","1.7753789543543217","0","210","0","0","1","1","0"
"55","55","","2","65","166.69038458104995","3155.3140781480256","13.531055210089445","150.11930252797546","355.73060657006255","495.3022748854172","119.947797473369","1.7753789543543217","0","210","0","0","1","1","0"
"56","56","","2","66","171.74672154731599","3028.892359411623","15.21172177469861","141.47699976244328","356.5443700540603","495.36487207649395","119.947797473369","1.7753789543543217","0","210","0","0","1","1","0"
"57","57","","2","67","178.92665985318385","3079.064355948771","16.11418866116916","184.79304165890863","356.2400209461154","495.313104771307","120.93557649959655","1.7753789543543217","0","210","0","0","1","1","0"
"58","58","","2","68","186.28881972102843","3047.4504551256564","18.797236086532244","150.21210781541663","357.47847468174086","496.33457033053","120.55566148950902","1.7753789543543217","0","210","0","0","1","1","0"
"59","59","","2","69","194.26402752885477","3001.1882590956943","24.197577274205308","156.97197985689164","357.02195101982346","496.302713527338","121.16352550564905","1.7753789543543217","0","210","0","0","1","1","0"
"60","60","","2","70","201.20078382938235","3093.956668632812","18.07534298358221","146.86174134046072","356.1898442114455","497.0806381077448","121.84737252380658","1.7753789543543217","0","210","0","0","1","1","0"
"61","61","","2","71","204.76158100386814","3202.143264315152","15.747593788532493","200.5884489880891","356.2151324600142","497.6720294055598","122.20796147209242","1.7753789543543217","0","210","0","0","1","1","0"
"62","62","","2","72","209.82027840480038","3230.0460675736877","20.526884293470584","193.68152458254872","356.44339429097295","497.6481368031658","122.66385948419745","1.7753789543543217","0","210","0","0","1","1","0"
"63","63","","2","73","204.59019429154705","3172.7085857981456","17.895474799938356","179.75728008237192","356.44339429097295","497.6481368031658","122.66385948419745","1.7753789543543217","0","210","0","0","1","1","0"
"64","64","","2","74","204.00010808687134","3145.1558850057454","18.712090768052896","329.0076615101431","356.44465800035397","497.9380593078182","123.02612466765177","1.7753789543543217","0","210","0","0","1","1","0"
"65","65","","2","75","195.6940508895001","3128.918332694644","15.36770230206668","223.8620510260448","356.44465800035397","497.9380593078182","123.02612466765177","1.7753789543543217","0","210","0","0","1","1","0"
"66","66","","2","76","199.46816022707736","3133.968652534423","16.400735289429072","265.53048686934295","356.8250943852851","497.89823830382824","123.7859546878268","1.7753789543543217","0","210","0","0","1","1","0"
"67","67","","2","77","197.7832013570413","3256.9494626915452","17.500682212296972","257.2900844465445","356.3243168566711","497.0218776287537","123.7859546878268","1.7753789543543217","0","210","0","0","1","1","0"
"68","68","","2","78","187.44930411162466","3269.516369251899","15.708879773731926","276.6724643481043","356.07392809236404","497.20966920198396","123.7859546878268","1.7753789543543217","0","210","0","0","1","1","0"
"69","69","","2","79","185.40992868706795","3194.273313916781","16.422226000437863","279.36835074008155","355.57315056375006","497.58525234844444","123.7859546878268","1.7753789543543217","0","210","0","0","1","1","0"
"70","70","","2","80","178.11869721748312","3274.055037042371","15.856068847708125","279.83806733728807","355.82353932805705","497.1470720109072","123.7859546878268","1.7753789543543217","0","210","0","0","1","1","0"
"71","71","","2","81","173.95313106973467","3228.8017208502215","16.116362144826372","292.83039787544885","355.57315056375006","497.5226551573677","123.7859546878268","1.7753789543543217","0","210","0","0","1","1","0"
"72","72","","2","82","170.25552353204904","3255.8661537140206","15.197007591684963","310.0295635873595","355.4209760097776","497.47088785218074","124.77373371405434","1.7753789543543217","0","210","0","0","1","1","0"
"73","73","","2","83","162.68796392465464","3238.8520680924357","14.764777719003552","309.3636579212487","355.4209760097776","497.47088785218074","124.77373371405434","1.7753789543543217","0","210","0","0","1","1","0"
"74","74","","2","84","159.07780823435436","3173.939023467987","12.495045470297926","250.23325837427222","356.4851282580823","498.53504010048545","124.77373371405434","1.7753789543543217","0","210","0","0","1","1","0"
"75","75","","2","85","156.3862346308349","3123.1284064978267","12.04502932875945","191.2165187392399","357.3515852944851","499.5071375231981","124.81088709747884","1.4672553341771255","0","210","0","0","1","1","0"
"76","76","","2","86","151.9988766719917","3082.4073110508384","11.328601218600273","170.77943359359156","357.9149600141759","499.88272066965857","124.81088709747884","1.4672553341771255","0","210","0","0","1","1","0"
"77","77","","2","87","154.0150308879653","3071.596571368848","10.964897055436765","177.78137544305565","358.10275158740615","500.00791505181206","124.81088709747884","1.4672553341771255","0","210","0","0","1","1","0"
"78","78","","2","88","157.4739998697913","3108.8588415840395","11.348192641129552","182.46661346532485","358.10275158740615","500.00791505181206","124.81088709747884","1.4672553341771255","0","210","0","0","1","1","0"
"79","79","","2","89","156.94015383315735","3019.4230406009656","15.78402787794765","210.16661440907095","358.8539178803271","500.0705122428888","124.81088709747884","1.4672553341771255","0","210","0","0","1","1","0"
"80","80","407.3160176553169","2","90","165.21580834474352","2838.8315912978396","14.719646989803875","258.00934048708524","357.90584597947435","498.6106308536528","125.8754638585851","1.4672553341771255","0","210","0","0","1","1","0"
"81","81","416.09115818944844","2","91","177.0327508991031","2819.3197661832073","17.651138217994234","289.25159277304635","358.2683828839686","498.51451660130397","126.06941396976362","1.4672553341771255","0","210","0","0","1","1","0"
"82","82","384.93210399422605","2","92","189.1185141082501","2772.2976708150345","19.131056877783582","160.07930350632756","359.560802590256","500.47103694918735","125.42884585739442","1.4672553341771255","0","210","0","0","1","1","0"
