Label,ID,Link displacement,Link target IDs,Link target IDs,Link velocity
,, ,Source spot id,Target spot id, 
,,(micron),,,(micron/frame)
18514 ? 18515,375,0.752546152180125,18514.0,18515.0,0.752546152180125
18515 ? 18516,376,0.0,18515.0,18516.0,0.0
18516 ? 18517,377,0.8153632482002530,18516.0,18517.0,0.8153632482002530
18517 ? 18518,378,1.187808726807600,18517.0,18518.0,1.187808726807600
18518 ? 18519,379,0.588717398326678,18518.0,18519.0,0.588717398326678
18519 ? 18520,380,0.5210947149780250,18519.0,18520.0,0.5210947149780250
18520 ? 18521,381,1.0151204079616700,18520.0,18521.0,1.0151204079616700
18521 ? 18522,382,0.7534526400894370,18521.0,18522.0,0.7534526400894370
220 ? 221,383,0.7267354721733350,220.0,221.0,0.7267354721733350
221 ? 222,384,0.42590303596942500,221.0,222.0,0.42590303596942500
222 ? 223,385,0.2836752304008700,222.0,223.0,0.2836752304008700
223 ? 224,386,0.516917986332598,223.0,224.0,0.516917986332598
224 ? 225,387,0.31431750603229000,224.0,225.0,0.31431750603229000
225 ? 226,388,0.729158308353289,225.0,226.0,0.729158308353289
226 ? 227,389,0.31248464608334800,226.0,227.0,0.31248464608334800
227 ? 228,390,0.39446502262973600,227.0,228.0,0.39446502262973600
228 ? 229,391,2.029397991138490,228.0,229.0,2.029397991138490
229 ? 230,392,0.40911040826776100,229.0,230.0,0.40911040826776100
219 ? 220,393,0.7540850571129990,219.0,220.0,0.7540850571129990
431 ? 432,394,0.6736908011686160,431.0,432.0,0.6736908011686160
432 ? 433,395,1.0194288797244300,432.0,433.0,1.0194288797244300
433 ? 434,396,0.3043087965582640,433.0,434.0,0.3043087965582640
434 ? 435,397,0.4786919372618850,434.0,435.0,0.4786919372618850
435 ? 436,398,0.8559500057957350,435.0,436.0,0.8559500057957350
436 ? 437,399,1.3979712477432600,436.0,437.0,1.3979712477432600
437 ? 438,400,1.2026556760613500,437.0,438.0,1.2026556760613500
438 ? 439,401,0.30221355877475400,438.0,439.0,0.30221355877475400
439 ? 440,402,0.9717322035322920,439.0,440.0,0.9717322035322920
440 ? 441,403,1.677605332580980,440.0,441.0,1.677605332580980
441 ? 442,404,1.4048925012311800,441.0,442.0,1.4048925012311800
442 ? 443,405,1.817176859004650,442.0,443.0,1.817176859004650
443 ? 444,406,0.7097714278754290,443.0,444.0,0.7097714278754290
444 ? 445,407,0.5778575980808620,444.0,445.0,0.5778575980808620
445 ? 446,408,0.9306567704334610,445.0,446.0,0.9306567704334610
446 ? 447,409,0.7898104572249030,446.0,447.0,0.7898104572249030
447 ? 448,410,0.734260217354975,447.0,448.0,0.734260217354975
448 ? 449,411,0.7542399740891570,448.0,449.0,0.7542399740891570
449 ? 450,412,0.3142585005745700,449.0,450.0,0.3142585005745700
450 ? 451,413,0.3664303294635590,450.0,451.0,0.3664303294635590
451 ? 452,414,0.7101279678866060,451.0,452.0,0.7101279678866060
452 ? 453,415,1.046869452525970,452.0,453.0,1.046869452525970
453 ? 454,416,1.0026386376798300,453.0,454.0,1.0026386376798300
454 ? 455,417,0.8919133293595240,454.0,455.0,0.8919133293595240
455 ? 456,418,0.8097719796592240,455.0,456.0,0.8097719796592240
456 ? 457,419,0.8511479400098120,456.0,457.0,0.8511479400098120
457 ? 458,420,0.34417437485958100,457.0,458.0,0.34417437485958100
458 ? 459,421,0.8150811433904320,458.0,459.0,0.8150811433904320
459 ? 460,422,0.9664561794106530,459.0,460.0,0.9664561794106530
460 ? 461,423,0.5916685737192130,460.0,461.0,0.5916685737192130
461 ? 462,424,0.1767177631681400,461.0,462.0,0.1767177631681400
462 ? 463,425,0.9877772334235910,462.0,463.0,0.9877772334235910
463 ? 464,426,0.30639435101431200,463.0,464.0,0.30639435101431200
464 ? 465,427,1.3581633124722800,464.0,465.0,1.3581633124722800
465 ? 500,428,0.44040267010595400,465.0,500.0,0.44040267010595400
701 ? 702,429,0.4311597794799350,701.0,702.0,0.4311597794799350
702 ? 703,430,0.4965853355093630,702.0,703.0,0.4965853355093630
703 ? 704,431,0.5947942680333840,703.0,704.0,0.5947942680333840
704 ? 705,432,0.6007879349292920,704.0,705.0,0.6007879349292920
705 ? 706,433,0.6676145212301980,705.0,706.0,0.6676145212301980
706 ? 707,434,0.4187051026728710,706.0,707.0,0.4187051026728710
707 ? 708,435,0.5572634694917660,707.0,708.0,0.5572634694917660
708 ? 709,436,0.5347819366088500,708.0,709.0,0.5347819366088500
18522 ? 18523,438,0.47407867425279200,18522.0,18523.0,0.47407867425279200
18523 ? 18524,439,0.5420429713111380,18523.0,18524.0,0.5420429713111380
18524 ? 2796,440,0.6615729901495890,18524.0,2796.0,0.6615729901495890
2796 ? 2791,441,0.39939379253608500,2796.0,2791.0,0.39939379253608500
2791 ? 2792,442,0.3745701217278760,2791.0,2792.0,0.3745701217278760
2792 ? 2793,443,0.4921303228815530,2792.0,2793.0,0.4921303228815530
2793 ? 2797,444,0.7210818568538080,2793.0,2797.0,0.7210818568538080
2797 ? 2936,445,0.7116580670429360,2797.0,2936.0,0.7116580670429360
2936 ? 2937,446,0.4226151095114980,2936.0,2937.0,0.4226151095114980
2937 ? 2938,447,0.39758369623565600,2937.0,2938.0,0.39758369623565600
2938 ? 2798,448,0.6557615868349670,2938.0,2798.0,0.6557615868349670
2798 ? 2799,449,0.3449168137159350,2798.0,2799.0,0.3449168137159350
2799 ? 2794,450,0.21242246929144900,2799.0,2794.0,0.21242246929144900
2794 ? 340,451,0.3446148794378560,2794.0,340.0,0.3446148794378560
340 ? 2939,452,0.3694144413793350,340.0,2939.0,0.3694144413793350
2939 ? 2934,453,0.44834585356838500,2939.0,2934.0,0.44834585356838500
2934 ? 2935,454,0.20212324393228200,2934.0,2935.0,0.20212324393228200
500 ? 501,455,0.7263306906603190,500.0,501.0,0.7263306906603190
501 ? 502,456,1.476477078789760,501.0,502.0,1.476477078789760
502 ? 503,457,0.2324322806280790,502.0,503.0,0.2324322806280790
503 ? 504,458,0.2953672221061440,503.0,504.0,0.2953672221061440
504 ? 505,459,0.800065920902657,504.0,505.0,0.800065920902657
505 ? 506,460,0.539929698352374,505.0,506.0,0.539929698352374
506 ? 507,461,0.7322396187904460,506.0,507.0,0.7322396187904460
507 ? 508,462,0.8532533186908980,507.0,508.0,0.8532533186908980
508 ? 509,463,1.163675089153020,508.0,509.0,1.163675089153020
509 ? 510,464,0.470405047104249,509.0,510.0,0.470405047104249
510 ? 511,465,0.5044749750692240,510.0,511.0,0.5044749750692240
511 ? 512,466,0.8759993488657270,511.0,512.0,0.8759993488657270
512 ? 513,467,0.26955385631697700,512.0,513.0,0.26955385631697700
513 ? 514,468,0.5060388506040630,513.0,514.0,0.5060388506040630
514 ? 515,469,0.4393701110292570,514.0,515.0,0.4393701110292570
515 ? 536,470,0.6330958336167620,515.0,536.0,0.6330958336167620
2935 ? 2795,471,0.4026723384687150,2935.0,2795.0,0.4026723384687150
2795 ? 18316,472,0.2611927292997080,2795.0,18316.0,0.2611927292997080
18316 ? 1268,473,0.6740364288732790,18316.0,1268.0,0.6740364288732790
1268 ? 18313,474,0.47394661778627900,1268.0,18313.0,0.47394661778627900
18313 ? 18314,475,0.6595012295316280,18313.0,18314.0,0.6595012295316280
18314 ? 18315,476,0.7143210609730900,18314.0,18315.0,0.7143210609730900
18315 ? 17813,477,0.3423068853588610,18315.0,17813.0,0.3423068853588610
17813 ? 17814,478,0.31780784660803200,17813.0,17814.0,0.31780784660803200
17814 ? 17815,479,0.516415259430624,17814.0,17815.0,0.516415259430624
17815 ? 17816,480,0.38431508572059100,17815.0,17816.0,0.38431508572059100
17816 ? 17817,481,0.38026924618300200,17816.0,17817.0,0.38026924618300200
17817 ? 17818,482,0.8415556361496970,17817.0,17818.0,0.8415556361496970
17818 ? 790,483,0.4356077594321440,17818.0,790.0,0.4356077594321440
790 ? 521,484,0.8349205221561050,790.0,521.0,0.8349205221561050
521 ? 520,485,0.5927940806514480,521.0,520.0,0.5927940806514480
520 ? 522,486,0.5244836732876220,520.0,522.0,0.5244836732876220
522 ? 523,487,0.30517421291095400,522.0,523.0,0.30517421291095400
523 ? 524,488,0.49605790845531700,523.0,524.0,0.49605790845531700
524 ? 525,489,0.3193246506108630,524.0,525.0,0.3193246506108630
525 ? 526,490,0.28468892706841700,525.0,526.0,0.28468892706841700
536 ? 537,491,0.5659447056268170,536.0,537.0,0.5659447056268170
537 ? 538,492,0.5223581250253030,537.0,538.0,0.5223581250253030
538 ? 539,493,0.776390549797569,538.0,539.0,0.776390549797569
539 ? 540,494,1.2558312172814000,539.0,540.0,1.2558312172814000
540 ? 541,495,0.31200357525007300,540.0,541.0,0.31200357525007300
541 ? 542,496,0.8394566731147940,541.0,542.0,0.8394566731147940
542 ? 543,497,0.6359294613964530,542.0,543.0,0.6359294613964530
543 ? 544,498,0.47690262293282500,543.0,544.0,0.47690262293282500
544 ? 545,499,0.811240061609212,544.0,545.0,0.811240061609212
545 ? 546,500,1.3537379995889600,545.0,546.0,1.3537379995889600
546 ? 547,501,1.770860792738560,546.0,547.0,1.770860792738560
547 ? 548,502,0.32696291421368800,547.0,548.0,0.32696291421368800
548 ? 549,503,0.8732118577736860,548.0,549.0,0.8732118577736860
549 ? 550,504,0.7639633021560460,549.0,550.0,0.7639633021560460
550 ? 551,505,1.0989367754175100,550.0,551.0,1.0989367754175100
551 ? 552,506,0.4763216018765480,551.0,552.0,0.4763216018765480
552 ? 676,507,1.6758464522120200,552.0,676.0,1.6758464522120200
709 ? 466,508,0.4808870044576250,709.0,466.0,0.4808870044576250
466 ? 467,509,0.42850355059816000,466.0,467.0,0.42850355059816000
467 ? 468,510,0.6215157088382320,467.0,468.0,0.6215157088382320
468 ? 469,511,0.5067183206414090,468.0,469.0,0.5067183206414090
469 ? 470,512,0.4610809859476010,469.0,470.0,0.4610809859476010
470 ? 471,513,0.30807822588977500,470.0,471.0,0.30807822588977500
471 ? 472,514,0.3507414105536860,471.0,472.0,0.3507414105536860
472 ? 473,515,0.24321582041553100,472.0,473.0,0.24321582041553100
473 ? 553,516,1.3891998407667600,473.0,553.0,1.3891998407667600
553 ? 554,517,0.1789142590399260,553.0,554.0,0.1789142590399260
554 ? 555,518,0.8398868131988730,554.0,555.0,0.8398868131988730
555 ? 556,519,1.259638569949020,555.0,556.0,1.259638569949020
556 ? 557,520,1.0566661226666200,556.0,557.0,1.0566661226666200
557 ? 558,521,0.4840237975527940,557.0,558.0,0.4840237975527940
558 ? 559,522,1.8349677978559300,558.0,559.0,1.8349677978559300
559 ? 560,523,0.5866422402933810,559.0,560.0,0.5866422402933810
560 ? 710,524,1.1850023905865800,560.0,710.0,1.1850023905865800
561 ? 562,525,0.23698225123363,561.0,562.0,0.23698225123363
194 ? 195,526,0.7342910398069090,194.0,195.0,0.7342910398069090
195 ? 196,527,1.0849100451023500,195.0,196.0,1.0849100451023500
196 ? 214,528,1.3645049560503100,196.0,214.0,1.3645049560503100
214 ? 215,529,0.7540834152259910,214.0,215.0,0.7540834152259910
215 ? 216,530,0.6759436669037910,215.0,216.0,0.6759436669037910
216 ? 217,531,0.7005661210687670,216.0,217.0,0.7005661210687670
217 ? 218,532,0.7298290468758480,217.0,218.0,0.7298290468758480
218 ? 219,533,1.1031803319748500,218.0,219.0,1.1031803319748500
192 ? 193,534,0.4271590721835610,192.0,193.0,0.4271590721835610
193 ? 194,535,0.42319491723248000,193.0,194.0,0.42319491723248000
191 ? 192,536,0.8548899822986260,191.0,192.0,0.8548899822986260
570 ? 571,537,0.5065044558123660,570.0,571.0,0.5065044558123660
571 ? 572,538,0.840260292400739,571.0,572.0,0.840260292400739
572 ? 573,539,2.9515678915586400,572.0,573.0,2.9515678915586400
573 ? 574,540,0.9489599007857320,573.0,574.0,0.9489599007857320
574 ? 575,541,0.6803507239832270,574.0,575.0,0.6803507239832270
575 ? 576,542,1.1259947417650500,575.0,576.0,1.1259947417650500
576 ? 577,543,1.8205070047407900,576.0,577.0,1.8205070047407900
577 ? 578,544,0.6378595191732140,577.0,578.0,0.6378595191732140
578 ? 579,545,3.374757171073410,578.0,579.0,3.374757171073410
579 ? 580,546,1.106486305084270,579.0,580.0,1.106486305084270
580 ? 581,547,0.5014927318378060,580.0,581.0,0.5014927318378060
581 ? 582,548,1.3930974738903900,581.0,582.0,1.3930974738903900
582 ? 583,549,0.3828479824742780,582.0,583.0,0.3828479824742780
583 ? 584,550,0.7348601389722410,583.0,584.0,0.7348601389722410
584 ? 585,551,0.31198492948922200,584.0,585.0,0.31198492948922200
585 ? 586,552,0.9851289090470220,585.0,586.0,0.9851289090470220
586 ? 587,553,0.43895645691338500,586.0,587.0,0.43895645691338500
587 ? 588,554,1.119832661488180,587.0,588.0,1.119832661488180
588 ? 589,555,1.4003939426832500,588.0,589.0,1.4003939426832500
589 ? 590,556,0.42113309863824700,589.0,590.0,0.42113309863824700
590 ? 591,557,0.2412981048235690,590.0,591.0,0.2412981048235690
591 ? 592,558,1.147562494373000,591.0,592.0,1.147562494373000
592 ? 593,559,0.47610459411852500,592.0,593.0,0.47610459411852500
593 ? 594,560,1.174059567137340,593.0,594.0,1.174059567137340
594 ? 595,561,0.40024039193555300,594.0,595.0,0.40024039193555300
595 ? 596,562,0.849790883925642,595.0,596.0,0.849790883925642
596 ? 597,563,0.45511385868247900,596.0,597.0,0.45511385868247900
597 ? 598,564,0.5797561153459,597.0,598.0,0.5797561153459
598 ? 599,565,0.45250015171530800,598.0,599.0,0.45250015171530800
599 ? 600,566,0.8613820456700960,599.0,600.0,0.8613820456700960
600 ? 601,567,1.6419798187832100,600.0,601.0,1.6419798187832100
601 ? 602,568,0.7746357302750420,601.0,602.0,0.7746357302750420
602 ? 603,569,0.9150464984720890,602.0,603.0,0.9150464984720890
603 ? 604,570,0.4540737718708890,603.0,604.0,0.4540737718708890
604 ? 605,571,0.6933391142776750,604.0,605.0,0.6933391142776750
605 ? 606,572,0.7931417055506620,605.0,606.0,0.7931417055506620
606 ? 607,573,1.03500881110425,606.0,607.0,1.03500881110425
607 ? 608,574,0.46400578164279100,607.0,608.0,0.46400578164279100
608 ? 609,575,0.5744081218120740,608.0,609.0,0.5744081218120740
609 ? 610,576,1.014388084575970,609.0,610.0,1.014388084575970
610 ? 611,577,0.9935754310596040,610.0,611.0,0.9935754310596040
611 ? 612,578,0.7041142493000010,611.0,612.0,0.7041142493000010
612 ? 613,579,0.47468315511201000,612.0,613.0,0.47468315511201000
613 ? 614,580,0.8014242268012280,613.0,614.0,0.8014242268012280
614 ? 615,581,0.984148518078357,614.0,615.0,0.984148518078357
615 ? 616,582,0.3015398203839130,615.0,616.0,0.3015398203839130
616 ? 617,583,1.1025319619462000,616.0,617.0,1.1025319619462000
617 ? 618,584,0.6997364044015350,617.0,618.0,0.6997364044015350
618 ? 619,585,0.7390428794300220,618.0,619.0,0.7390428794300220
619 ? 620,586,0.8386964542733310,619.0,620.0,0.8386964542733310
620 ? 621,587,0.9650039083336680,620.0,621.0,0.9650039083336680
621 ? 622,588,1.2957149763094700,621.0,622.0,1.2957149763094700
622 ? 623,589,1.1706471236945600,622.0,623.0,1.1706471236945600
623 ? 624,590,0.5889795075695240,623.0,624.0,0.5889795075695240
624 ? 625,591,1.079431495326270,624.0,625.0,1.079431495326270
625 ? 626,592,0.6865040757104920,625.0,626.0,0.6865040757104920
