"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","PSMdtoSom","PSMdtoSomDiv","TBto Som"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","",""
"59","59","581.6678094134409","2","59","180.41217261559802","3200.024340988118","13.579546348702083","242.1604190315904","177.0","3114.0","373.6862808614831","452.3589006060054","130.38649821048858","2.0750123930575572","0","183","1","0","0"
"60","60","543.3122922763315","2","60","174.08735242986933","3129.3895312440227","13.998068787062588","230.32116108231486","171.0","3044.0","373.60680480133806","452.67276331498005","130.0249634203221","2.0750123930575572","0","183","1","0","0"
"61","61","509.3552101439881","2","61","168.73369476583207","3090.912683961771","12.31995539465163","200.2421349442287","167.0","3007.0","373.39029560618326","452.53259432185143","130.63844726656103","2.0750123930575572","0","183","1","0","0"
"62","62","531.6768878730481","2","62","166.03910787812245","3118.0653936854205","12.789442643392887","243.82755956622742","164.0","2960.0","373.0830625389724","452.5489240155136","130.92612542363838","2.0750123930575572","0","183","1","0","0"
"63","63","358.37143963472664","2","63","168.44196061109264","2995.2589948997893","14.210182658006913","182.3926925962017","166.0","2902.0","372.759467679202","452.3921065453889","130.00650518322877","2.0750123930575572","0","183","1","0","0"
"64","64","384.785621982295","2","64","171.61010315371024","3039.7649466295925","13.333869130268011","193.26642088285234","169.0","2987.0","372.0375282322757","451.9432263256842","130.01520801409745","2.0750123930575572","0","183","1","0","0"
"65","65","455.60202743096477","2","65","174.35673576139322","3212.1157122213554","14.034884479245314","189.8597498250113","170.0","3180.0","371.9986197057783","451.41582606810323","130.68859846526027","2.0750123930575572","0","183","1","0","0"
"66","66","422.2155217148534","2","66","182.2472878604171","3092.8145436803247","15.082614318741117","204.2077122288747","176.0","2999.0","371.6919607796278","451.229506562562","129.4143148000168","2.0750123930575572","0","183","1","0","0"
"67","67","439.9218531395459","2","67","191.7452253846864","3081.266643513937","15.574568262031313","201.93210708738846","186.0","2978.0","371.71105762591213","451.2136969420699","130.3934691653837","2.0750123930575572","0","183","1","0","0"
"68","68","394.7571619134573","2","68","202.5559495429369","3155.8708852122863","15.762167060807926","196.3346651230464","202.0","3107.0","372.31519730094595","452.2671809530557","131.73510623467683","2.0750123930575572","0","183","1","0","0"
"69","69","467.9956280666426","2","69","215.85985929305235","3142.7374153964656","16.949342263346836","214.7059965409016","213.0","3109.0","371.8333604691468","451.5802731243504","131.03630591569262","2.0750123930575572","0","183","1","0","0"
"70","70","495.78890674161585","2","70","234.31320143536334","3127.7570938348827","20.67550040227412","233.50638955469603","231.0","3111.0","371.23462880762605","451.628714738663","131.00894553719343","2.0750123930575572","0","183","1","0","0"
"71","71","578.9692461396055","2","71","257.5642933214029","3159.241879346563","23.254122141292104","260.0432451652029","250.0","3079.0","371.2037813477913","451.3514820377982","130.9620021797992","2.0750123930575572","0","183","1","0","0"
"72","72","670.8554527632627","2","72","273.27277809215235","3238.943039571947","26.684209953236245","292.1388702784848","261.0","3119.0","370.9403414799601","451.2355640754116","130.59221766172664","2.0750123930575572","0","183","1","0","0"
"73","73","624.0265166100836","2","73","279.9440943452948","3144.15918732636","30.33544964395334","278.84503397087934","269.0","3054.0","371.331070386658","451.1886679942625","130.46031659835168","2.0750123930575572","0","183","1","0","0"
"74","74","605.6026230243305","2","74","288.1636568872278","3062.108337874138","28.504510072891176","271.09224716352685","277.0","2905.0","371.35371286668624","451.21167634404543","130.80454141780606","2.0750123930575572","0","183","1","0","0"
"75","75","579.7546420062625","2","75","298.135095004121","3043.8255185662756","31.23405721759187","264.24448801416844","289.0","2941.0","371.6376230874067","451.3976390912409","130.9831652782585","2.0750123930575572","0","183","1","0","0"
"76","76","519.5607775857696","2","76","290.5771742508884","2945.079080300985","28.213367303203132","229.45493603086885","286.0","2904.0","371.3607948924232","451.19164547973025","130.74366874817693","2.0750123930575572","0","183","1","0","0"
"77","77","501.5971806030994","2","77","285.61350548078843","2909.199351372392","24.831610652273326","237.5664052703403","283.0","2843.0","371.4875312323976","451.26014995384884","130.53289423792071","2.0750123930575572","0","183","1","0","0"
"78","78","516.9629586694533","2","78","297.4440016044717","2946.472781039738","27.753137849792044","230.12136891423108","294.0","2953.0","371.8886557976425","451.6855622873889","130.042762828172","2.0750123930575572","0","183","1","0","0"
"79","79","620.2344666264637","2","79","283.0045335442176","2896.577142269046","30.665566855948885","285.09052689523287","269.0","2770.0","372.5055668621283","452.3223932056534","129.3096071179469","2.0750123930575572","0","183","1","0","0"
"80","80","679.4085597797266","2","80","276.1036554614342","2905.599582064094","28.244249260922107","312.2309297426821","272.0","2865.0","372.678991185374","453.0190134598526","129.7144062959394","2.0750123930575572","0","183","1","0","0"
"81","81","625.5294667797518","2","81","257.2472754401301","2853.472686767551","23.62212657935475","273.5465400407669","256.0","2830.0","372.3691042895131","453.8389350605793","130.00238866530805","2.0750123930575572","0","183","1","0","0"
"82","82","567.1944052767539","2","82","246.59488689696855","2761.1486722799027","22.086163602030048","251.11737672753685","243.0","2714.0","372.6104512119125","453.8818891027186","129.53422247620534","2.0750123930575572","0","183","1","0","0"
"83","83","533.9687067740024","2","83","234.8466454394758","2674.3116752222445","20.129702527643122","239.9852534618545","226.0","2484.0","372.6077761432954","453.8886649234971","129.84815787678207","2.0750123930575572","0","183","1","0","0"
"84","84","633.1947430114383","2","84","229.67313303898158","2742.5324498421946","20.91356053115306","277.384061462533","224.0","2609.0","373.14333398901886","454.6975749752871","130.36401820767858","2.0750123930575572","0","183","1","0","0"
"85","85","623.2971190171377","2","85","227.2381075940099","2761.248277281665","21.85542692006114","285.1105780051292","223.0","2640.0","373.2078427996762","454.6994059864666","130.60850179113584","2.0750123930575572","0","183","1","0","0"
"86","86","602.5041316732849","2","86","217.78992331438917","2716.997703742057","19.118208779325805","280.6749728507228","214.0","2644.0","373.0493395346556","454.2367432772148","129.8186214171128","2.0750123930575572","0","183","1","0","0"
"87","87","643.9801494210526","2","87","214.9951762934762","2707.3885272319926","19.75667712440895","287.6841843806756","209.0","2605.0","373.46127962356377","453.9711172683003","130.01780964431134","2.0750123930575572","0","183","1","0","0"
"88","88","640.1379985867377","2","88","205.45940915598894","2639.7383128511774","17.716800011653053","282.954862329223","201.0","2548.0","373.2059236091875","454.10052173425925","130.71087028543968","2.0750123930575572","0","183","1","0","0"
"89","89","539.7311629988102","2","89","200.9478869611657","2525.16971387985","17.868734813879513","279.7493704550015","198.0","2369.0","373.14490090092494","454.0830085574604","131.06406660584645","2.0750123930575572","0","183","1","0","0"
"90","90","596.3207961127047","2","90","200.2002011640957","2539.8650625958367","18.124676445884447","282.966874050844","194.0","2438.0","373.8110888611742","454.3277197547498","131.46292430569235","2.0750123930575572","0","183","1","0","0"
"91","91","573.8181198291494","2","91","207.8580780837896","2504.8675203340777","21.69662996993973","259.3694350925461","201.0","2411.0","373.93093945496145","454.293329893795","131.90373840480913","2.0750123930575572","0","183","1","0","0"
"92","92","624.3258689614519","2","92","212.62539911148562","2594.6820809757132","23.804710834972752","290.6258550352341","205.0","2490.0","374.01167665580215","454.5919298887089","131.70025369822423","2.0750123930575572","0","183","1","0","0"
"93","93","621.5235003380069","2","93","225.44819236101688","2628.1839271078074","26.69833602873816","277.50751184399354","211.0","2510.0","374.3417190862373","454.37885755815563","131.93049107499496","2.0750123930575572","0","183","1","0","0"
"94","94","628.0922357442377","2","94","237.16304976944892","2620.336039279582","32.10438446335934","270.2020878461906","222.0","2528.0","374.51203702710353","454.5848119706608","131.4457252257654","2.0750123930575572","0","183","1","0","0"
"95","95","647.8423110577896","2","95","259.86656871393205","2536.9145593056282","38.58844617578787","272.45354188309756","249.0","2478.0","374.3150702485374","454.739340506271","131.5305365348184","2.0750123930575572","0","183","1","0","0"
"96","96","656.5452876730565","2","96","280.2161929140936","2532.324131934983","45.45723138248663","287.41152160038797","266.0","2453.0","374.4565831904758","454.6115471343719","132.01266851207185","2.0750123930575572","0","183","1","0","0"
"97","97","592.3238708090544","2","97","305.1038669193466","2487.9349541195334","59.19406784164385","259.10819191803137","280.0","2412.0","374.5688274830704","454.158482064447","131.8109814877775","2.0750123930575572","0","183","1","0","0"
"98","98","568.2772977409542","2","98","332.8698817178952","2461.6761989228908","66.22937830139749","263.9137821827006","310.0","2378.0","374.80541791848475","453.58093121435405","131.63021654607738","2.0750123930575572","0","183","1","0","0"
"99","99","603.2533958613145","2","99","358.2535622477119","2432.2455079208275","73.79885872289975","289.55461704423874","341.0","2364.0","374.98048269506984","453.3379189851091","131.02777142610245","2.0750123930575572","0","183","1","0","0"
"100","100","607.1511154638127","2","100","370.27545747983174","2430.8048199423874","89.81358491932099","281.43650393957415","323.0","2382.0","375.3298884953581","453.3469557363537","131.08343642288565","2.0750123930575572","0","183","1","0","0"
"101","101","","2","101","381.78871108737246","2468.4297558114317","90.78208522475381","296.7825057825579","343.0","2387.0","375.0827260852069","452.7905056546427","131.00315501414948","2.0750123930575572","0","183","1","0","0"
"102","102","","2","102","401.99666349634634","2433.040575995026","97.91403449881092","304.3121613902378","411.0","2390.0","375.3843097862759","453.7003312942484","131.11677420046502","2.0750123930575572","0","183","1","0","0"
"103","103","","2","103","455.42168231446635","2514.861093538417","81.2209388607791","280.1380821838749","406.0","2379.0","375.201646260427","453.0967127283856","131.04439193651768","1.886374902779598","0","183","1","0","0"
"104","104","571.9789937795625","2","104","449.2110020451788","2456.5449476127637","89.77189366698985","261.8944691457973","404.0","2362.0","375.50380528083997","453.3038775427519","131.80793141622337","1.886374902779598","0","183","1","0","0"
"105","105","430.263103465542","2","105","435.3455747393132","2277.545784180333","86.43088017802329","210.27329682601447","406.0","2242.0","375.2512519176546","451.9373121511832","130.45536484428166","1.886374902779598","0","183","1","0","0"
"106","106","443.4103017333413","2","106","435.1762324960931","2308.18679806443","81.18570419691125","235.1341250042535","388.0","2268.0","375.1121317328044","452.12258519560874","129.98020112517366","1.886374902779598","0","183","1","0","0"
"107","107","","2","107","431.0383219001577","2249.482713416671","81.04752963414806","217.1669928152621","358.0","2095.0","375.0501130631454","451.80267800237834","129.51145667812085","1.886374902779598","0","183","1","0","0"
"108","108","","2","108","446.8753878514601","2348.4715012229544","72.14713097302571","202.4688590305502","376.0","2245.0","375.05642260009284","451.7647993198028","129.50997275113718","1.886374902779598","0","183","1","0","0"
