"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","H","HtoL","adaxials","checked"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","",""
"149 ? 148","78","3.7834982529529455","149.0","148.0","3.7834982529529455","0","1","0","1"
"150 ? 149","79","3.2106507257480197","150.0","149.0","3.2106507257480197","0","1","0","1"
"151 ? 150","80","1.8242687934894877","151.0","150.0","1.8242687934894877","0","1","0","1"
"152 ? 151","81","1.0478820336221504","152.0","151.0","1.0478820336221504","0","1","0","1"
"153 ? 152","82","1.739644961559264","153.0","152.0","1.739644961559264","0","1","0","1"
"154 ? 153","83","3.00080322758712","154.0","153.0","3.00080322758712","0","1","0","1"
"155 ? 154","84","4.33344556792622","155.0","154.0","4.33344556792622","0","1","0","1"
"156 ? 155","85","2.1589856532062073","156.0","155.0","2.1589856532062073","0","1","0","1"
"157 ? 156","86","1.1560486339800597","157.0","156.0","1.1560486339800597","0","1","0","1"
"158 ? 157","87","2.7432921988536947","158.0","157.0","2.7432921988536947","0","1","0","1"
"159 ? 158","88","4.22769038307373","159.0","158.0","4.22769038307373","0","1","0","1"
"160 ? 159","89","4.892610477982341","160.0","159.0","4.892610477982341","0","1","0","1"
"161 ? 160","90","7.656826077104804","161.0","160.0","7.656826077104804","0","1","0","1"
"162 ? 161","91","10.099612755919699","162.0","161.0","10.099612755919699","0","1","0","1"
"163 ? 162","92","4.130959036155252","163.0","162.0","4.130959036155252","0","1","0","1"
"164 ? 163","93","3.35734336360314","164.0","163.0","3.35734336360314","0","1","0","1"
"165 ? 164","94","5.83569912842025","165.0","164.0","5.83569912842025","0","1","0","1"
"166 ? 165","95","1.8242687934895","166.0","165.0","1.8242687934895","0","1","0","1"
"167 ? 166","96","3.6938686778270187","167.0","166.0","3.6938686778270187","0","1","0","1"
"168 ? 167","97","3.998455329785189","168.0","167.0","3.998455329785189","0","1","0","1"
"169 ? 168","98","2.1328006460027287","169.0","168.0","2.1328006460027287","0","1","0","1"
