"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","Honly","HtoL","checked","last peak"
"",""," "," "," ","Mean ch0","Mean ch1","Mean ch2","Std ch0","Std ch1","Std ch2","Median ch0","Median ch1","Median ch2","X","Y","Z"," ","Median ch0","Median ch1","Median ch2"," "," ","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","","","","","",""
"63","63","","2","43","178.5687479430161","160.78852203083804","9341.44429059192","13.412798781938903","16.05214661039681","2667.1913741006097","181.0","168.0","8495.5","373.8486087343498","318.5455042733679","29.310843333501932","2.2825136323633135","45818.0","41650.0","2495361.0","15","50","0","1","1","1"
"64","64","","2","42","182.25990263519145","148.0412435001194","9038.98476018813","15.873256404272412","13.675837186048206","2003.32746481569","185.5","153.0","8637.0","373.2022055741632","320.89340246648953","30.759234371962197","2.2825136323633135","45486.0","37077.0","2228679.0","15","50","0","1","1","1"
"65","65","","2","41","194.9854228630913","150.1401081083907","7412.992897633154","18.181307178116203","13.850424888667348","1723.4303192478974","198.0","152.5","6583.0","374.84818089347544","320.8295663992487","27.102068529076366","2.2825136323633135","56353.0","43680.0","2135282.0","15","50","0","1","1","1"
"66","66","","2","40","203.56344651831188","139.73198091728483","10076.713282445537","19.672045445638222","13.268127729801419","2264.671717932708","204.0","139.0","10028.0","374.68232303212005","322.65428078699716","27.09917346933755","2.2825136323633135","59009.0","40336.0","2939453.0","15","50","0","1","1","1"
"67","67","","2","39","226.46200355176748","140.37514863302877","9335.125655235843","20.133663103539984","13.239773484681429","2410.807925546517","227.0","141.0","9641.0","374.01889158669854","327.29900831944786","27.087593230382296","2.2825136323633135","66627.0","41307.0","2812735.0","15","50","0","1","1","1"
"68","68","","2","38","248.43082972889107","133.1554739813968","9515.06733213493","25.414614734913137","11.951223159110326","2599.41920052782","249.0","134.0","9562.5","372.8513625696998","332.3781064584233","32.216434097132435","2.2825136323633135","62206.0","33038.0","2322194.0","15","50","0","1","1","1"
"69","69","","2","37","266.11070509055486","130.52650192276238","9691.74962133549","30.08470069895399","10.450812815840242","3235.135245529614","269.0","130.0","9094.5","371.1387776394748","336.84273179908405","36.04635682997912","2.2825136323633135","77650.0","38260.0","2891292.0","15","50","0","1","1","1"
"70","70","","2","36","282.0988208054609","124.00482840953258","11705.294376945434","35.50092826558329","8.901244477411959","5400.731852977329","291.0","125.0","10553.0","369.4784306243484","342.6477569465219","36.118717890842724","2.2825136323633135","81776.0","36017.0","3424018.0","15","50","0","1","1","1"
"71","71","","2","35","323.8649090253354","121.71941412924035","13562.786399105411","37.01586141719971","7.435717362830818","5120.283114842543","328.0","123.0","12324.0","367.81808360922196","348.45278209395974","36.19107895170633","2.2825136323633135","96006.0","35858.0","3963314.0","15","50","0","1","1","1"
"72","72","","2","59","119.17245627690536","239.7004032836365","4623.803502474483","6.661476793278715","27.99698918153914","820.2699076856933","119.0","247.0","4472.5","372.5030242357205","270.1333032242642","26.6688833732837","2.2825136323633135","33587.0","68000.0","1292088.0","11","54","0","1","1","1"
